id,image_url
honor-honor-choice-earbuds-clip-2-pro,https://f.nooncdn.com/p/pzsku/ZB3797A9212A19967D696Z/45/_/1780572392/d3a82625-5988-485d-b1fc-9835dfdefc37.jpg
honor-honor-choice-earbuds-x,https://static.toiimg.com/thumb/resizemode-4%2Cmsid-108711884%2Cwidth-1070/108711884.jpg
honor-honor-choice-earbuds-x3,https://eplaneta.rs/media/catalog/product/cache/b3a0f5a22a0716a4157a475ec9eda9df/h/o/honor-choice-earbuds-x3-bezicne-slusalice-bele-0_70722.jpg
honor-honor-choice-earbuds-x5,https://gomagcdn.ro/domains/dualstore.ro/files/product/original/casti-honor-choice-earbuds-x5-white-442447.jpg
honor-honor-choice-earbuds-x5-pro-anc,https://www.mobilnisvet.net/images/products/big/343339.webp
honor-honor-choice-open-ear-true-wireless-earbuds,https://storage.micromagma.ma/micromagma/03dd02ae-37c7-4764-923c-d4c461c07299.jpg
honor-honor-choice-true-wireless-earbuds,https://www.honor.com/content/dam/honor/common/product-album/album-slides/true-wireless-earbuds/album-slides-rws-item20-hd.jpg
honor-honor-earbuds-2-lite,
honor-honor-earbuds-3-pro,https://down-my.img.susercontent.com/file/cb912395a73e21f73da7b7b23b7572a8
honor-honor-earbuds-3i,https://clickbuy.com.vn/uploads/images/2022/11/Honor-Earbuds-3i-4.png
honor-honor-earbuds-4,
honor-honor-earbuds-a,https://hshop.honorfile.com/pimages/product/6936520843251/800_800_5C919F6A0140E990241F2E64F4206DFB7461F73F526FDE9Emp.png
honor-honor-earbuds-a-pro,https://www.geekwills.com/media/catalog/product/cache/d368225e56c0af8fed569f12698f474d/h/o/honor_earbuds_a_pro.jpg
honor-honor-earbuds-open,https://honorstore.cl/cdn/shop/files/Earbuds-Dorado-02.webp?v=1748651113&width=800
honor-honor-earbuds-x2,
honor-honor-earbuds-x5,
honor-honor-earbuds-x6,https://api.technopolis.bg/medias/Product-details-main-504798.jpg?context=bWFzdGVyfHJvb3R8NjM3NjJ8aW1hZ2UvanBlZ3xhR013TDJoaFpDOHpORFU1TlRjMk5EZ3pNREl6T0M5UWNtOWtkV04wTFdSbGRHRnBiSE10YldGcGJsODFNRFEzT1RndWFuQm58NmI4NmIwOGE2OTk0Y2JlODBmY2ZlOTYyZjkxYThlYjc1NmY3NjI1YWMxOWRkZTU3NzAxNWNmYTQ2ZTA0NjEwZA
honor-honor-earbuds-x7,https://storage.irshad.az/products/101675/honor-choice-earbuds-x7-prg-me00-white.jpg
